,y
2457,2.4849066497880004
568,0.0
4428,0.0
1865,3.737669618283368
376,0.0
2365,0.0
1615,0.0
3739,3.9318256327243257
605,0.0
2685,0.0
4632,0.0
1848,0.0
4925,0.0
302,0.0
3719,0.0
2043,0.0
232,0.0
1432,0.0
4134,0.0
362,7.023758954738443
2698,0.0
2567,1.3862943611198906
125,2.7080502011022096
2586,2.19722457733622
953,0.0
481,3.4657359027997265
3886,6.9726062513017535
3919,0.0
3445,8.497194544909547
710,5.318119993844216
4910,0.0
3375,0.0
1990,0.0
3679,1.3862943611198906
709,4.6443908991413725
4838,0.0
2921,0.0
4670,0.0
2421,0.0
813,0.0
130,2.6390573296152584
1787,0.0
2977,0.0
2474,0.0
4754,0.0
490,0.0
1559,0.0
3714,0.0
4527,0.0
351,0.0
186,0.0
4052,4.204692619390967
2972,0.0
1476,4.043051267834549
1988,0.0
399,0.0
3997,0.0
1793,0.0
1714,2.8332133440562166
1049,0.0
1100,4.204692619390967
3828,0.0
3329,7.321849713788357
2697,0.0
2070,0.0
2304,0.0
421,0.0
1525,0.0
1401,2.079441541679836
2644,0.0
963,0.0
1759,0.0
1163,0.0
1938,0.0
4741,0.0
4135,0.0
487,0.0
3080,5.472270673671474
1249,0.6931471805599453
435,0.0
4259,5.4510384535657
255,0.0
1526,0.0
829,0.0
788,1.3862943611198906
1535,0.0
3344,0.0
1987,0.0
1554,0.0
456,0.0
3990,0.0
1433,0.0
3759,0.0
1012,5.655991810819852
2387,0.0
1128,0.0
1560,0.0
1105,0.0
2997,0.0
398,0.0
4526,0.0
797,2.4849066497880004
4560,0.0
3588,0.0
2909,0.0
3328,6.954638864880987
4133,0.0
3039,0.0
2064,0.0
1361,0.0
1458,1.3862943611198906
1334,3.7135720667043084
1758,0.0
4166,0.0
177,0.0
3226,0.0
2731,4.890349128221754
3165,0.0
26,0.0
2445,0.0
525,0.0
4213,0.0
1253,0.6931471805599453
3349,0.0
1145,0.0
2820,3.3672958299864737
321,2.079441541679836
4648,5.7899601708972535
664,0.0
4045,0.0
2213,0.0
4451,0.0
3695,0.0
3661,0.0
332,0.0
4110,6.045005314036013
2809,1.3862943611198906
1652,2.6390573296152584
3960,0.0
598,0.0
4506,0.0
386,0.0
2860,0.0
1459,1.0986122886681098
2611,1.791759469228055
3119,6.2441669006637355
4948,2.4849066497880004
4169,0.0
228,0.0
1028,6.725033642166842
4758,0.0
498,0.0
1771,0.0
902,0.0
3756,0.0
701,2.4849066497880004
4769,0.0
2430,0.0
2665,0.0
4724,0.0
3801,0.0
2993,0.0
1237,0.0
4581,0.0
1238,0.0
3496,0.0
3048,0.0
4853,8.160803920954665
2754,3.555348061489413
4038,0.0
4215,0.0
1749,0.0
1564,0.0
3730,3.2958368660043287
138,0.0
3826,0.0
4001,0.0
4890,0.0
4358,0.0
3887,0.0
4613,0.0
3213,0.0
4427,0.0
2415,0.0
580,0.0
912,0.0
1565,0.0
367,7.44600149832412
3185,0.0
4267,5.762051382780178
4417,0.0
3639,0.0
3286,0.0
4728,0.0
2017,0.0
2418,0.0
4032,0.0
3686,0.0
110,0.0
2294,0.0
4761,0.0
2520,0.0
2555,1.3862943611198906
1089,3.80666248977032
929,0.0
1338,3.258096538021482
4095,0.0
2334,6.113682179832232
936,0.0
3210,0.0
2680,0.0
4306,0.0
1250,0.6931471805599453
4522,0.0
2756,4.143134726391533
2076,0.0
4161,6.376726947898628
3451,0.0
2185,0.0
4107,0.0
2451,0.0
2641,0.0
3142,2.772588722239781
705,4.219507705176107
1197,0.0
1683,0.0
2498,0.6931471805599453
434,0.0
3763,0.0
2582,5.488937726156687
383,0.0
2263,0.0
2236,0.0
4991,5.1647859739235145
2473,0.0
1672,0.0
1660,0.0
432,0.0
739,0.0
2773,0.0
1777,0.0
3502,0.0
3467,0.0
3355,0.0
2209,0.0
3301,2.772588722239781
3985,0.0
3,0.0
4505,0.0
2910,0.0
7,0.0
1896,0.6931471805599453
2037,0.0
1742,0.0
403,0.0
4637,0.0
50,5.521460917862246
1933,0.0
2090,5.723585101952382
4771,0.0
558,0.0
726,4.61512051684126
1717,3.80666248977032
3547,0.0
1151,0.0
4958,3.8501476017100575
1723,4.6443908991413725
545,0.0
2201,0.0
4801,0.0
1614,1.3862943611198906
1071,0.0
3920,1.791759469228055
716,6.220590170099739
4534,1.0986122886681098
4916,0.0
1396,0.0
1231,0.0
3591,0.0
1727,0.0
318,0.0
3868,0.0
4884,0.0
4984,5.308267697401205
4900,0.0
1587,0.0
427,0.0
2408,0.0
4100,0.0
480,3.555348061489413
3269,0.0
546,0.0
1298,0.0
262,0.0
1702,1.6094379124341005
4111,6.912742820493176
4863,0.0
666,0.0
171,0.0
1176,0.0
3603,0.0
1077,0.0
3409,0.0
4170,0.0
686,0.0
4540,1.0986122886681098
3382,0.0
693,3.0910424533583165
2764,0.0
4351,0.0
2481,0.0
2262,0.0
3304,2.19722457733622
3585,7.9714309977693505
2812,1.0986122886681098
2938,0.0
2117,0.0
4770,0.0
